New York ,NY,"8,363,710"
Los Angeles ,CA,"3,833,995"
Chicago ,IL,"2,853,114"
Houston ,TX,"2,242,193"
Phoenix ,AZ,"1,567,924"
Philadelphia ,PA,"1,447,395"
San Antonio ,TX,"1,351,305"
Dallas ,TX,"1,279,910"
San Diego ,CA,"1,279,329"
San Jose ,CA,"948,279"
Detroit ,MI,"912,062"
San Francisco ,CA,"808,976"
Indianapolis,IN,"798,382"
Austin ,TX,"757,688"
Columbus ,OH,"754,885"
Fort Worth ,TX,"703,073"
Charlotte ,NC,"687,456"
Baltimore ,MD,"636,919"
Boston ,MA,"609,023"
Milwaukee ,WI,"604,477"
Denver ,CO,"598,707"
Seattle ,WA,"598,541"
Washington ,DC,"591,833"
Las Vegas ,NV,"558,383"
Portland ,OR,"557,706"
Tucson ,AZ,"541,811"
Atlanta ,GA,"537,958"
Albuquerque ,NM,"521,999"
Sacramento ,CA,"463,794"
Long Beach ,CA,"463,789"
Kansas City ,MO,"451,572"
Omaha ,NE,"438,646"
Cleveland ,OH,"433,748"
Virginia Beach ,VA,"433,746"
Miami ,FL,"413,201"
Oakland ,CA,"404,155"
Minneapolis ,MN,"382,605"
Colorado Springs ,CO,"380,307"
Honolulu,HI,"374,676"
Arlington ,TX,"374,417"
St. Louis ,MO,"354,361"
Tampa ,FL,"340,882"
Cincinnati ,OH,"333,336"
Aurora ,CO,"319,057"
New Orleans ,LA,"311,853"
Pittsburgh ,PA,"310,037"
Riverside ,CA,"295,357"
Newark ,NJ,"278,980"
Buffalo ,NY,"270,919"
Tacoma ,WA,"197,181"
