	Skill	NumAds	Percentage
3	Flume	1	0.05341880341880342
28	LaTex	1	0.05341880341880342
23	Julia	1	0.05341880341880342
8	Mahout	2	0.10683760683760685
17	ZooKeeper	2	0.10683760683760685
2	D3.js	4	0.2136752136752137
7	HBase	6	0.3205128205128205
25	D3	7	0.37393162393162394
20	MongoDB	8	0.4273504273504274
31	Pig	9	0.4807692307692308
29	MapReduce	9	0.4807692307692308
4	Hive	15	0.8012820512820512
15	SPSS	17	0.9081196581196582
18	Tableau	18	0.9615384615384616
32	PHP	55	2.938034188034188
24	STATA	60	3.205128205128205
10	HTML	65	3.4722222222222223
0	Excel	74	3.9529914529914527
6	Scala	76	4.05982905982906
30	C++	89	4.754273504273504
13	Cassandra	100	5.3418803418803416
14	Perl	113	6.036324786324786
9	Spark	116	6.196581196581197
5	SQL	132	7.051282051282051
11	Hadoop	140	7.478632478632479
12	Ruby	164	8.76068376068376
1	NoSQL	172	9.18803418803419
27	Java	178	9.508547008547009
19	MATLAB	184	9.82905982905983
21	SAS	204	10.897435897435898
16	JavaScript	261	13.942307692307693
26	Python	321	17.147435897435898
22	R	333	17.78846153846154
