	Skill	NumAds	Percentage
0	Perl	1	0.8547008547008548
1	D3	1	0.8547008547008548
19	HBase	1	0.8547008547008548
5	Pig	1	0.8547008547008548
7	Cassandra	1	0.8547008547008548
8	Tableau	1	0.8547008547008548
18	Ruby	3	2.564102564102564
15	NoSQL	3	2.564102564102564
14	Spark	3	2.564102564102564
11	PHP	3	2.564102564102564
17	C++	4	3.418803418803419
10	MATLAB	4	3.418803418803419
3	SPSS	4	3.418803418803419
20	JavaScript	4	3.418803418803419
21	Hive	4	3.418803418803419
13	Java	8	6.837606837606838
4	Hadoop	11	9.401709401709402
6	Python	16	13.675213675213676
9	SQL	18	15.384615384615385
16	Excel	21	17.94871794871795
2	R	21	17.94871794871795
12	SAS	38	32.47863247863248
