	Skill	NumAds	Percentage
23	D3.js	1	0.2145922746781116
11	ZooKeeper	1	0.2145922746781116
31	Flume	2	0.4291845493562232
24	MongoDB	2	0.4291845493562232
26	PHP	3	0.6437768240343348
25	Cassandra	4	0.8583690987124464
8	Julia	4	0.8583690987124464
7	HBase	5	1.0729613733905579
6	Mahout	6	1.2875536480686696
9	Scala	6	1.2875536480686696
22	HTML	6	1.2875536480686696
28	D3	7	1.502145922746781
15	NoSQL	7	1.502145922746781
18	STATA	8	1.7167381974248928
2	Ruby	10	2.1459227467811157
13	MapReduce	13	2.7896995708154506
10	Pig	13	2.7896995708154506
12	JavaScript	16	3.4334763948497855
17	Hive	17	3.648068669527897
3	Tableau	17	3.648068669527897
29	Spark	17	3.648068669527897
1	C++	26	5.579399141630901
27	Perl	44	9.44206008583691
20	MATLAB	49	10.515021459227468
5	SPSS	51	10.944206008583691
21	Excel	59	12.660944206008583
4	Hadoop	65	13.948497854077251
0	SQL	68	14.592274678111588
19	Java	70	15.021459227467812
16	SAS	78	16.738197424892704
30	Python	109	23.390557939914164
14	R	117	25.10729613733906
