	Skill	NumAds	Percentage
0	HTML	1	0.5747126436781609
16	Hive	1	0.5747126436781609
15	SPSS	1	0.5747126436781609
14	Tableau	1	0.5747126436781609
10	Cassandra	1	0.5747126436781609
6	NoSQL	1	0.5747126436781609
19	HBase	1	0.5747126436781609
17	MATLAB	4	2.2988505747126435
18	Hadoop	5	2.8735632183908044
2	SAS	10	5.747126436781609
11	Ruby	12	6.896551724137931
4	JavaScript	15	8.620689655172415
5	Spark	17	9.770114942528735
13	Perl	18	10.344827586206897
9	Python	23	13.218390804597702
3	Excel	24	13.793103448275861
8	C++	35	20.114942528735632
7	SQL	37	21.26436781609195
12	R	40	22.988505747126435
1	Java	44	25.287356321839084
