	Skill	NumAds	Percentage
25	D3.js	2	0.38167938931297707
22	ZooKeeper	2	0.38167938931297707
17	MongoDB	3	0.5725190839694656
14	Ruby	3	0.5725190839694656
13	PHP	3	0.5725190839694656
24	LaTex	3	0.5725190839694656
26	Mahout	4	0.7633587786259541
30	Julia	4	0.7633587786259541
11	D3	4	0.7633587786259541
29	Pig	5	0.9541984732824428
10	MapReduce	5	0.9541984732824428
27	HBase	6	1.1450381679389312
21	Cassandra	7	1.3358778625954197
2	STATA	8	1.5267175572519083
19	HTML	10	1.9083969465648856
1	Perl	11	2.099236641221374
9	Scala	11	2.099236641221374
16	Hive	17	3.2442748091603053
4	JavaScript	25	4.770992366412214
6	MATLAB	35	6.679389312977099
3	Java	36	6.870229007633588
15	NoSQL	50	9.541984732824428
18	Tableau	53	10.114503816793894
23	Hadoop	57	10.877862595419847
8	SPSS	58	11.068702290076336
28	Spark	61	11.641221374045802
31	C++	64	12.213740458015266
12	Excel	112	21.374045801526716
5	Python	113	21.564885496183205
0	SAS	113	21.564885496183205
20	SQL	209	39.88549618320611
7	R	217	41.412213740458014
