	Skill	NumAds	Percentage
29	LaTex	1	0.042462845010615716
19	Flume	1	0.042462845010615716
33	Oozie	1	0.042462845010615716
32	ZooKeeper	2	0.08492569002123143
13	Shark	2	0.08492569002123143
4	Mahout	4	0.16985138004246286
20	Julia	5	0.21231422505307856
16	D3.js	6	0.25477707006369427
30	HBase	9	0.3821656050955414
6	Cassandra	11	0.46709129511677283
26	PHP	14	0.59447983014862
31	HTML	17	0.7218683651804672
22	MongoDB	23	0.9766454352441614
23	Ruby	24	1.019108280254777
27	Pig	26	1.1040339702760085
28	MapReduce	32	1.358811040339703
15	Hive	42	1.78343949044586
10	SPSS	52	2.208067940552017
34	JavaScript	128	5.435244161358812
12	Excel	145	6.1571125265392785
2	D3	146	6.199575371549894
3	MATLAB	152	6.4543524416135885
0	STATA	196	8.32271762208068
25	Perl	198	8.40764331210191
24	Scala	206	8.747346072186836
11	NoSQL	214	9.087048832271762
5	C++	239	10.148619957537155
8	Tableau	330	14.012738853503185
9	Java	339	14.394904458598726
14	SQL	341	14.479830148619957
21	Spark	401	17.0276008492569
18	SAS	455	19.32059447983015
1	Hadoop	592	25.138004246284503
7	Python	605	25.690021231422506
17	R	762	32.35668789808917
