	Skill	NumAds	Percentage
30	Oozie	1	0.21008403361344538
26	D3	1	0.21008403361344538
18	ZooKeeper	1	0.21008403361344538
7	Flume	1	0.21008403361344538
12	STATA	1	0.21008403361344538
11	PHP	2	0.42016806722689076
28	HBase	3	0.6302521008403361
29	Mahout	3	0.6302521008403361
4	MapReduce	4	0.8403361344537815
22	Pig	5	1.050420168067227
19	SPSS	5	1.050420168067227
16	Scala	7	1.4705882352941175
15	Hive	7	1.4705882352941175
25	HTML	8	1.680672268907563
6	Spark	13	2.73109243697479
17	Ruby	14	2.941176470588235
5	MATLAB	17	3.571428571428571
9	JavaScript	26	5.46218487394958
2	C++	33	6.932773109243698
3	MongoDB	39	8.193277310924369
23	Cassandra	39	8.193277310924369
8	Excel	42	8.823529411764707
21	Tableau	47	9.873949579831933
20	SAS	52	10.92436974789916
1	Perl	54	11.344537815126051
14	NoSQL	86	18.067226890756302
0	Hadoop	90	18.907563025210084
10	Java	105	22.058823529411764
24	SQL	135	28.361344537815125
13	Python	164	34.45378151260504
27	R	184	38.655462184873954
