	Skill	NumAds	Percentage
1	Oozie	1	0.04833252779120348
29	Flume	1	0.04833252779120348
13	ZooKeeper	2	0.09666505558240696
27	D3.js	3	0.14499758337361043
22	Julia	6	0.28999516674722087
19	Mahout	8	0.3866602223296278
14	D3	8	0.3866602223296278
6	PHP	9	0.43499275012083133
17	MongoDB	10	0.4833252779120348
28	Cassandra	12	0.5799903334944417
5	HBase	13	0.6283228612856452
32	SPSS	15	0.7249879168680522
12	HTML	19	0.918318028032866
11	MapReduce	22	1.0633156114064766
24	Pig	28	1.3533107781536975
9	Perl	28	1.3533107781536975
16	Ruby	29	1.401643305944901
4	Tableau	31	1.4983083615273078
2	NoSQL	35	1.6916384726921216
10	Scala	45	2.1749637506041566
23	MATLAB	46	2.22329627839536
0	Hive	50	2.416626389560174
20	C++	57	2.7549540840985984
7	SAS	62	2.9966167230546157
30	JavaScript	64	3.0932817786370226
26	STATA	80	3.8666022232962782
21	Hadoop	100	4.833252779120348
3	Java	114	5.509908168197197
15	Excel	130	6.283228612856452
31	Spark	221	10.68148864185597
25	SQL	270	13.04978250362494
18	R	334	16.143064282261964
8	Python	395	19.091348477525376
