	Skill	NumAds	Percentage
3	Shark	1	0.06381620931716657
23	Julia	1	0.06381620931716657
7	D3.js	4	0.2552648372686663
14	STATA	5	0.3190810465858328
25	Oozie	5	0.3190810465858328
6	Mahout	7	0.4467134652201659
13	MongoDB	8	0.5105296745373326
28	D3	8	0.5105296745373326
8	SPSS	12	0.7657945118059988
21	PHP	16	1.0210593490746651
15	Ruby	18	1.148691767708998
16	HTML	20	1.2763241863433312
5	ZooKeeper	21	1.3401403956604978
30	Tableau	22	1.4039566049776642
1	MapReduce	34	2.169751116783663
19	Perl	37	2.361199744735163
11	Cassandra	38	2.4250159540523293
32	HBase	41	2.6164645820038293
31	SAS	44	2.8079132099553283
17	Excel	49	3.1269942565411615
10	Pig	51	3.2546266751754946
0	Scala	59	3.765156349712827
29	MATLAB	75	4.786215698787492
2	Hive	83	5.296745373324825
18	Spark	91	5.8072750478621575
4	JavaScript	110	7.019783024888322
20	NoSQL	153	9.763880025526483
22	Java	189	12.061263560944479
26	C++	219	13.975749840459475
27	SQL	221	14.103382259093811
9	Hadoop	254	16.209317166560304
12	Python	333	21.250797702616463
24	R	378	24.122527121888957
