	Skill	NumAds	Percentage
23	Oozie	1	0.08333333333333334
20	Flume	1	0.08333333333333334
15	D3.js	1	0.08333333333333334
25	LaTex	1	0.08333333333333334
7	Cassandra	3	0.25
27	Julia	4	0.33333333333333337
18	MongoDB	4	0.33333333333333337
19	Mahout	5	0.4166666666666667
31	D3	6	0.5
5	STATA	7	0.5833333333333334
3	Scala	12	1.0
29	HTML	12	1.0
32	HBase	13	1.0833333333333335
28	NoSQL	13	1.0833333333333335
4	Pig	15	1.25
30	MapReduce	16	1.3333333333333335
2	SPSS	17	1.4166666666666665
6	Tableau	18	1.5
10	PHP	21	1.7500000000000002
22	Hive	21	1.7500000000000002
26	Ruby	22	1.8333333333333333
11	MATLAB	32	2.666666666666667
8	Perl	33	2.75
14	Spark	35	2.9166666666666665
17	SAS	38	3.166666666666667
9	JavaScript	55	4.583333333333333
21	Excel	74	6.166666666666667
16	Hadoop	119	9.916666666666666
24	C++	119	9.916666666666666
12	Java	127	10.583333333333334
1	SQL	153	12.75
13	Python	166	13.833333333333334
0	R	193	16.083333333333332
