	Skill	NumAds	Percentage
15	LaTex	1	0.057045065601825436
26	Shark	3	0.17113519680547634
31	Oozie	3	0.17113519680547634
12	Flume	4	0.22818026240730174
27	PHP	10	0.5704506560182544
4	Cassandra	12	0.6845407872219054
9	Mahout	13	0.7415858528237307
17	D3	16	0.912721049629207
5	MongoDB	21	1.1979463776383343
14	HBase	21	1.1979463776383343
16	STATA	23	1.3120365088419852
19	Pig	33	1.8824871648602397
21	Julia	43	2.452937820878494
28	Hive	45	2.567027952082145
22	SPSS	50	2.852253280091272
18	HTML	70	3.993154592127781
13	MATLAB	72	4.107244723331432
7	Perl	80	4.563605248146035
3	C++	86	4.905875641756988
2	SAS	111	6.332002281802625
1	Java	126	7.187678265830005
25	NoSQL	128	7.301768397033656
30	MapReduce	146	8.328579577866515
24	Ruby	151	8.613804905875641
0	Spark	165	9.412435824301198
20	Tableau	170	9.697661152310324
23	Scala	178	10.154021677124929
32	Excel	204	11.63719338277239
33	Hadoop	225	12.835139760410724
11	D3.js	233	13.291500285225327
6	JavaScript	315	17.969195664575015
8	SQL	335	19.110096976611523
10	R	460	26.240730176839705
29	Python	560	31.94523673702225
